id;Municipio;Fraccionamiento;Model;Address;Price;ground_area;Area;bathrooms;Rooms;Parkings
1;Salinas Victoria;Pilares La Puerta;Águila;ÁguilaTitanio   109 Pilares laPuerta sector Platino   C.P. 65515Recorrido virtualPlantas Arquitectónicas;761000;;;2 h;1 b;2 e
2;Salinas Victoria;Pilares La Puerta;Águila Real;Águila RealTitanio   109 Pilares laPuerta sector Platino   C.P. 65515Recorrido virtualPlantas Arquitectónicas;799000;;;2 h;1.5;2 e
3;Juarez;Privada Belterra;Milán;MilánCalle Prol. Pablo Livas  S/N Privada Belterra   C.P. 67275Recorrido virtualPlantas Arquitectónicas;1232000;;;3 h;2 b;1 e
4;Juarez;Valle Condesa Sector Britania;Milán;MilánAv. Toledo    S/N ValleCondesa sector Britania   C.P. 67294Recorrido virtualPlantas Arquitectónicas;1179000;;;3 h;2 b;1 e
5;Juarez;Privada Cantabria;Milán;MilánCalle Emilio Carranza   S/N  Valle Condesa Juarez C.P. 67266Plantas Arquitectónicas;1199000;;;3 h;3 b;1 e
6;Juarez;Valle Condesa Sector Francés;Aura Premium;Aura PremiumAv. Condesa S/N   S/N Valle Condesa Juarez C.P. 67280A 24.7km de tíPlantas Arquitectónicas;1414000;;;3 h;2.5;2 e
7;Juarez;Valle Santa Isabel;Águila Elite;Águila EliteAv. Valle Santa Isabel   1004  Valle Santa Isabel Juarez C.P. 67256A 25.8km de tíRecorrido virtualPlantas Arquitectónicas;857000;;;3 h;1.5;1 e
8;Juarez;Valle Santa Isabel;Albatros;AlbatrosAv. Valle Santa Isabel   1004  Valle Santa Isabel Juarez C.P. 67256A 25.8km de tíRecorrido virtualPlantas Arquitectónicas;600000;;;2 h;1 b;1 e
9;Juarez;Valle Santa Isabel;Águila Tienda;Águila TiendaAv. Valle Santa Isabel   1004  Valle Santa Isabel Juarez C.P. 67256A 25.8km de tíPlantas Arquitectónicas;733000;;;2 h;1 b;1 e
10;García;Valle De Lincoln Sector Minas;Albatros;AlbatrosAv. Abraham Lincoln   S/NValle de Lincoln Monterrey C.P. 66026A 19.7km de tíRecorrido virtualPlantas Arquitectónicas;583000;;;2 h;1 b;1 e
11;García;Valle De Lincoln Sector Minas;Albatros Plus;Albatros PlusAv. Abraham Lincoln   S/NValle de Lincoln Monterrey C.P. 66026A 19.7km de tíRecorrido virtualPlantas Arquitectónicas;599000;;;2 h;1 b;1 e
12;García;Valle De Lincoln Sector Minas;Albatros Piso;Albatros PisoAv. Abraham Lincoln   S/NValle de Lincoln Monterrey C.P. 66026A 19.7km de tíRecorrido virtualPlantas Arquitectónicas;617000;;;2 h;1 b;1 e
13;García;Porto Sector ;Aura Elite 3N;Aura Elite 3NStilo   202 Porto Cumbres, SectorFlorencia, Dominio Cumbres   C.P. 66036Recorrido virtualPlantas Arquitectónicas;3480000;;;3 h;3.5;2 e
14;Escobedo;Muriel Residencial;Aura Elite;Aura EliteAv. Acueducto   607Muriel Residencial   C.P. 66072A 13.2km de tíRecorrido virtualPlantas Arquitectónicas;2496000;;;3 h;2.5;2 e
15;Apodaca;Valle De Santa Elena;Águila;ÁguilaCarretera Zuazua   KM 5 Valle de Santa Elena Apodaca C.P. 65776A 29.3km de tíRecorrido virtualPlantas Arquitectónicas;722000;;;2 h;1 b;1 e
16;Apodaca;Mision De Los Ángeles 1Er Sector Arcangeles;Aura Elite;Aura EliteCalle Antiguo Camino Santo Domingo,      Fraccionamiento   C.P. 66600Recorrido virtualPlantas Arquitectónicas;2785000;;;3 h;2.5;2 e
17;Guadalupe;Residencial Privada Las Plazas;Aura Elite;Aura EliteAv. Amador Garza Martínez   S/NResidencial Privada Las Plazas   C.P. 67134A 17.3km de tíRecorrido virtualPlantas Arquitectónicas;2214000;;;3 h;2.5;2 e
